Rank	Mountain peak	State	Mountain Range	Elevation	Prominence	Isolation	Location
151	Matterhorn[352][353][fe][ff]	 Nevada	Jarbidge Mountains	"10,843 ft
3305 m"	"4,688 ft
1429 m"	"60.4 mi
97.2 km"	41.8107°N 115.3745°W
152	Mount Aylesworth[354][355]	" Alaska
 British Columbia"	Saint Elias Mountains	"9,285 ft
2830 m"	"4,659 ft
1420 m"	"16.81 mi
27.1 km"	59.9242°N 138.7985°W
153	Mount Hunter[356][357]	 Alaska	Alaska Range	"14,573 ft
4442 m"	"4,653 ft
1418 m"	"6.88 mi
11.07 km"	62.9504°N 151.0915°W
154	Mount Saint Helens[358][359][fg]	 Washington	Cascade Range	"8,363 ft
2549 m"	"4,593 ft
1400 m"	"32 mi
51.5 km"	46.1914°N 122.1956°W
155	Mount Reid[360][fh]	 Alaska	Revillagigedo Island	"4,592 ft
1399.6 m"	"4,592 ft
1400 m"	"23.3 mi
37.5 km"	55.7065°N 131.2472°W
156	Mount Wrightson[361][362][fi][fj]	 Arizona	Santa Rita Mountains	"2882 m
9,457 ft"	"1399 m
4,591 ft"	"62.5 km
38.8 mi"	31.6959°N 110.8482°W
157	Currant Mountain[363][364][365][fk]	 Nevada	White Pine Range	"11,518 ft
3510.7 m"	"4,575 ft
1394 m"	"52.8 mi
85 km"	38.9097°N 115.4246°W
158	Abajo Peak[366][367][368][fl]	 Utah	Abajo Mountains	"11,362 ft
3463 m"	"4,555 ft
1388 m"	"39.9 mi
64.2 km"	37.8395°N 109.4624°W
159	Crestone Peak[369][370][fm][fn]	 Colorado	Sangre de Cristo Range	"14,300 ft
4359 m"	"4,554 ft
1388 m"	"27.4 mi
44 km"	37.9669°N 105.5855°W
160	Kates Needle[371][372]	" Alaska
 British Columbia"	Coast Mountains	"10,016 ft
3053 m"	"4,537 ft
1383 m"	"26 mi
41.8 km"	57.0449°N 132.0451°W
161	Koniag Peak[373][374][fo]	 Alaska	Kodiak Island	"4,520 ft
1378 m"	"4,520 ft
1378 m"	"84.2 mi
135.5 km"	57.3548°N 153.3235°W
162	Clingmans Dome[375][fp][fq]	" North Carolina
 Tennessee"	Great Smoky Mountains	"6,643 ft
2025 m"	"4,513 ft
1376 m"	"70.7 mi
113.9 km"	35.5629°N 83.4986°W
163	Emory Peak[376][377][378][fr][fs]	 Texas	Chisos Mountains	"7,812 ft
2381 m"	"4,495 ft
1370 m"	"46.2 mi
74.3 km"	29.2460°N 103.3053°W
164	Cache Peak[379][380][381][ft]	 Idaho	Albion Range	"10,343 ft
3152.5 m"	"4,479 ft
1365 m"	"81.8 mi
131.6 km"	42.1856°N 113.6611°W
165	Mount McLoughlin[382][383][384][fu][fv]	 Oregon	Cascade Range	"9,499 ft
2895 m"	"4,475 ft
1364 m"	"69.5 mi
111.8 km"	42.4445°N 122.3156°W
	Kuskokwim high point[385][fw]	 Alaska	Kuskokwim Mountains	"5,250 ft
1600 m"	"4,475 ft
1364 m"	"191.6 mi
308 km"	60.1159°N 159.3241°W
167	Northwest Peak[386][387][388][fx][fy]	 Montana	Columbia Mountains	"7,709 ft
2350 m"	"4,455 ft
1358 m"	"24.1 mi
38.8 km"	48.9632°N 115.9683°W
168	Junipero Serra Peak[389][390][fz][ga]	 California	Santa Lucia Range	"5,865 ft
1788 m"	"4,447 ft
1355 m"	"131.8 mi
212 km"	36.1457°N 121.4191°W
169	Hualapai Peak[391][392][393][gb]	 Arizona	Hualapai Mountains	"8,426 ft
2568.2 m"	"4,439 ft
1353 m"	"95.2 mi
153.2 km"	35.0751°N 113.8979°W
170	Mount Shuksan[394][395][396][gc]	 Washington	Skagit Range	"9,135 ft
2784 m"	"4,431 ft
1351 m"	"10.36 mi
16.68 km"	48.8315°N 121.6032°W
171	Table Mountain[397][398][399][gd][ge]	 Montana	Highland Mountains	"10,228 ft
3117 m"	"4,422 ft
1348 m"	"19.3 mi
31.1 km"	45.7426°N 112.4619°W
172	Mount Stimson[400][401][402]	 Montana	Lewis Range	"10,146 ft
3092.6 m"	"4,402 ft
1342 m"	"30 mi
48.3 km"	48.5142°N 113.6104°W
173	Kintla Peak[403][404][gf][gg]	 Montana	Livingston Range	"10,106 ft
3080 m"	"4,401 ft
1341 m"	"14.78 mi
23.8 km"	48.9437°N 114.1714°W
174	Granite Peak[405][406][407][gh]	 Nevada	Santa Rosa Range	"9,732 ft
2966.3 m"	"4,400 ft
1341 m"	"82.4 mi
132.6 km"	41.6681°N 117.5889°W
175	Santiago Peak[408][409][410][gi]	 California	Santa Ana Mountains	"5,690 ft
1734.36 m"	"4,397 ft
1340 m"	"33.6 mi
54.1 km"	33.7105°N 117.5342°W
176	Regal Mountain[411][412][413]	 Alaska	Wrangell Mountains	"13,845 ft
4220 m"	"4,395 ft
1340 m"	"12.25 mi
19.72 km"	61.7438°N 142.8675°W
177	Remmel Mountain[414][415][416][gj]	 Washington	Okanogan Range	"8,691 ft
2649.16 m"	"4,385 ft
1337 m"	"16.83 mi
27.1 km"	48.9234°N 120.1968°W
178	Steens Mountain[417][418][gk]	 Oregon	Steens Mountain	"9,738 ft
2968 m"	"4,383 ft
1336 m"	"124.7 mi
201 km"	42.6364°N 118.5767°W
179	Mount Osborn[419][420][gl]	 Alaska	Seward Peninsula	"4,714 ft
1437 m"	"4,377 ft
1334 m"	"282 mi
453 km"	64.9922°N 165.3294°W
180	Eagle Peak[421][422][423][gm]	 California	Warner Mountains	"9,895 ft
3016 m"	"4,362 ft
1330 m"	"87.4 mi
140.6 km"	41.2835°N 120.2007°W
181	Herbert Volcano[424][425][gn]	 Alaska	Herbert Island	"4,300 ft
1310.6 m"	"4,300 ft
1311 m"	"9.07 mi
14.59 km"	52.7405°N 170.1142°W
182	Katahdin[426][427][go][gp]	 Maine	Longfellow Mountains	"5,270 ft
1606.4 m"	"4,293 ft
1309 m"	"158.3 mi
255 km"	45.9044°N 68.9213°W
183	Chicoma Mountain[428][429][430][gq]	 New Mexico	Jemez Mountains	"11,561 ft
3523.8 m"	"4,291 ft
1308 m"	"35.3 mi
56.8 km"	36.0073°N 106.3846°W
184	Mount Kanaga[431][432][gr]	 Alaska	Kanaga Island	"4,287 ft
1306.7 m"	"4,287 ft
1307 m"	"42 mi
67.6 km"	51.9238°N 177.1623°W
185	Uncompahgre Peak[433][434][435][gs][gt]	 Colorado	San Juan Mountains	"14,321 ft
4365 m"	"4,277 ft
1304 m"	"85 mi
136.8 km"	38.0717°N 107.4621°W
186	Clark Mountain[436][437][438][gu]	 California	Clark Mountain Range	"7,933 ft
2418.1 m"	"4,255 ft
1297 m"	"29.1 mi
46.9 km"	35.5256°N 115.5887°W
187	Mount Akutan[439][440][gv]	 Alaska	Akutan Island	"4,251 ft
1295.7 m"	"4,251 ft
1296 m"	"42.3 mi
68.1 km"	54.1330°N 165.9854°W
188	Navajo Mountain[441][442][443]	 Utah	Colorado Plateau	"10,348 ft
3154.2 m"	"4,236 ft
1291 m"	"58.6 mi
94.3 km"	37.0343°N 110.8697°W
189	Bearpaw Baldy[444][445][gw]	 Montana	Bearpaw Mountains	"6,921 ft
2109.4 m"	"4,229 ft
1289 m"	"62.8 mi
101 km"	48.1487°N 109.6509°W
190	Jack Mountain[446][447][448][gx]	 Washington	Hozameen Range	"9,075 ft
2766 m"	"4,211 ft
1284 m"	"16.32 mi
26.3 km"	48.7728°N 120.9562°W
191	Accomplishment Peak[449][450][gy]	 Alaska	Brooks Range	"8,045 ft
2452 m"	"4,195 ft
1279 m"	"86.5 mi
139.2 km"	68.4433°N 148.0947°W
192	Mount Patterson[451][452][gz][ha]	 California	Sweetwater Range	"11,679 ft
3560 m"	"4,173 ft
1272 m"	"18.5 mi
29.8 km"	38.4366°N 119.3052°W
193	Mount Tozi[453][hb]	 Alaska	Ray Mountains	"5,519 ft
1682 m"	"4,169 ft
1271 m"	"99.5 mi
160.1 km"	65.6865°N 150.9498°W
194	Mount Chamberlin[454][455][hc][hd]	 Alaska	Brooks Range	"8,901 ft
2713 m"	"4,151 ft
1265 m"	"27.2 mi
43.9 km"	69.2775°N 144.9107°W
195	Mount Edith[456][457][he][hf]	 Montana	Big Belt Mountains	"9,504 ft
2897 m"	"4,110 ft
1253 m"	"37 mi
59.5 km"	46.4318°N 111.1862°W
196	Sandia Crest[458][459][460][hg]	 New Mexico	Sandia Mountains	"10,682 ft
3256 m"	"4,098 ft
1249 m"	"45.3 mi
72.9 km"	35.2100°N 106.4495°W
197	Mount Taylor[461][462][463][hh]	 New Mexico	San Mateo Mountains	"11,305 ft
3445.9 m"	"4,094 ft
1248 m"	"86.8 mi
139.6 km"	35.2387°N 107.6085°W
198	Hilgard Peak[464][465][hi][hj]	 Montana	Madison Range	"11,321 ft
3451 m"	"4,063 ft
1238 m"	"76.4 mi
123 km"	44.9166°N 111.4593°W
199	Kaʻala[466][hk]	 Hawaii	Island of Oʻahu	"4,060 ft
1237 m"	"4,060 ft
1237 m"	"84.4 mi
135.8 km"	21.5079°N 158.1426°W
200	Francs Peak[467][468][469][hl]	 Wyoming	Absaroka Range	"13,164 ft
4012.3 m"	"4,056 ft
1236 m"	"47.2 mi
76 km"	43.9613°N 109.3392°W
