Rank	Mountain peak	State	Mountain Range	Elevation	Prominence	Isolation	Location
48	Mount Neacola[115][116][bd]	 Alaska	Aleutian Range	"9,426 ft
2873 m"	"6,376 ft
1943 m"	"31 mi
49.9 km"	60.7981°N 153.3959°W
49	Kings Peak[117][118][be][bf]	 Utah	Uinta Mountains	"13,534 ft
4125 m"	"6,358 ft
1938 m"	"166.6 mi
268 km"	40.7763°N 110.3729°W
50	Mount Graham[119][120][121][bg]	 Arizona	Pinaleño Mountains	"10,724 ft
3268.6 m"	"6,340 ft
1932 m"	"82.4 mi
132.6 km"	32.7017°N 109.8714°W
51	Mount Douglas[122][123]	 Alaska	Alaska Peninsula	"7,050 ft
2149 m"	"6,300 ft
1920 m"	"42.9 mi
69 km"	58.8598°N 153.5353°W
52	Mount San Antonio[124][125][bh][bi]	 California	San Gabriel Mountains	"10,068 ft
3069 m"	"6,244 ft
1903 m"	"42.5 mi
68.4 km"	34.2891°N 117.6463°W
53	Kichatna Spire[126][127]	 Alaska	Alaska Range	"8,985 ft
2739 m"	"6,235 ft
1900 m"	"37.3 mi
60 km"	62.4231°N 152.7231°W
54	"Mount Chosin Few[128]
(Peak 8084)"	 Alaska	Chugach Mountains	"8,084 ft
2464 m"	"6,234 ft
1900 m"	"43.1 mi
69.3 km"	60.8299°N 145.1335°W
55	Telescope Peak[129][130][131][bj]	 California	Panamint Range	"11,043 ft
3366 m"	"6,188 ft
1886 m"	"57.2 mi
92 km"	36.1698°N 117.0892°W
56	Mount Peale[132][133][134][bk]	 Utah	La Sal Mountains	"12,726 ft
3879 m"	"6,181 ft
1884 m"	"72.8 mi
117.1 km"	38.4385°N 109.2292°W
	Pogromni Volcano[135][136][137]	 Alaska	Unimak Island	"6,531 ft
1991 m"	"6,181 ft
1884 m"	"31.7 mi
50.9 km"	54.5705°N 164.6926°W
58	Peak 8010 (Alaska)[138]	 Alaska	Chugach Mountains	"8,010 ft
2441 m"	"6,160 ft
1878 m"	"25.3 mi
40.7 km"	61.1605°N 144.8129°W
59	Mount Washington[139][140][141][bl][bm][bn]	 New Hampshire	White Mountains	"6,288 ft
1917 m"	"6,158 ft
1877 m"	"820 mi
1,319 km"	44.2705°N 71.3032°W
60	Mount Igikpak[142][143][bo]	 Alaska	Brooks Range	"8,276 ft
2523 m"	"6,126 ft
1867 m"	"282 mi
453 km"	67.4129°N 154.9656°W
61	Snow Tower[144][145]	 Alaska	Coast Mountains	"6,572 ft
2003 m"	"6,122 ft
1866 m"	"10.12 mi
16.28 km"	58.1724°N 133.4009°W
62	Mount Mitchell[146][147][bp][bq][br]	 North Carolina	Blue Ridge Mountains	"6,684 ft
2037 m"	"6,092 ft
1857 m"	"1,189 mi
1,913 km"	35.7649°N 82.2651°W
63	Truuli Peak[148][149][bs]	 Alaska	Kenai Mountains	"6,612 ft
2015 m"	"6,062 ft
1848 m"	"87.8 mi
141.3 km"	59.9129°N 150.4348°W
64	Humphreys Peak[150][151][bt][bu]	 Arizona	San Francisco Peaks	"12,637 ft
3852 m"	"6,039 ft
1841 m"	"246 mi
396 km"	35.3464°N 111.6780°W
65	Borah Peak[152][153][154][bv]	 Idaho	Lost River Range	"12,668 ft
3861.2 m"	"6,002 ft
1829 m"	"150.8 mi
243 km"	44.1374°N 113.7811°W
66	Mount Natazhat[155][156]	 Alaska	Saint Elias Mountains	"13,435 ft
4095 m"	"5,985 ft
1824 m"	"15.49 mi
24.9 km"	61.5217°N 141.1030°W
67	Hanagita Peak[157][158][159]	 Alaska	Chugach Mountains	"8,504 ft
2592 m"	"5,954 ft
1815 m"	"22 mi
35.3 km"	61.0670°N 143.7075°W
68	Tanaga Volcano[160][161][bw][bx]	 Alaska	Tanaga Island	"5,925 ft
1806 m"	"5,925 ft
1806 m"	"407 mi
656 km"	51.8838°N 178.1429°W
69	Makushin Volcano[162][163][by]	 Alaska	Unalaska Island	"5,905 ft
1800 m"	"5,905 ft
1800 m"	"83.1 mi
133.8 km"	53.8782°N 166.9299°W
70	Sovereign Mountain[164][165][bz]	 Alaska	Talkeetna Mountains	"8,849 ft
2697 m"	"5,874 ft
1790 m"	"45.6 mi
73.5 km"	62.1311°N 148.6044°W
71	Mount Jefferson[166][167][ca][cb]	 Nevada	Toquima Range	"11,946 ft
3641 m"	"5,871 ft
1789 m"	"98.6 mi
158.7 km"	38.7519°N 116.9267°W
72	Mount Ellen[168][169][cc][cd]	 Utah	Henry Mountains	"11,527 ft
3513 m"	"5,862 ft
1787 m"	"56 mi
90.2 km"	38.1089°N 110.8136°W
73	Isanotski Peaks[170][171]	 Alaska	Unimak Island	"8,106 ft
2471 m"	"5,856 ft
1785 m"	"9.71 mi
15.62 km"	54.7680°N 163.7291°W
74	Deseret Peak[172][173][ce]	 Utah	Stansbury Mountains	"11,035 ft
3364 m"	"5,812 ft
1772 m"	"46 mi
74 km"	40.4595°N 112.6264°W
75	Mount Jefferson[174][175][176][cf]	 Oregon	Cascade Range	"10,502 ft
3201 m"	"5,797 ft
1767 m"	"48.1 mi
77.5 km"	44.6743°N 121.7996°W
76	Isthmus Peak[177][178]	 Alaska	Kenai Mountains	"6,532 ft
1991 m"	"5,782 ft
1762 m"	"32.3 mi
52 km"	60.5772°N 148.8915°W
77	Frosty Peak[179][180]	 Alaska	Aleutian Range	"5,803 ft
1769 m"	"5,753 ft
1754 m"	"35.4 mi
56.9 km"	55.0672°N 162.8351°W
78	Pilot Peak[181][182][183][cg]	 Nevada	Pilot Range	"10,720 ft
3267.6 m"	"5,731 ft
1747 m"	"53.7 mi
86.4 km"	41.0211°N 114.0774°W
79	Crazy Peak[184][185][ch][ci]	 Montana	Crazy Mountains	"11,214 ft
3418 m"	"5,719 ft
1743 m"	"44.6 mi
71.8 km"	46.0181°N 110.2768°W
80	Great Sitkin Volcano[186][187][cj]	 Alaska	Great Sitkin Island	"5,710 ft
1740 m"	"5,710 ft
1740 m"	"87.8 mi
141.3 km"	52.0763°N 176.1108°W
81	Puʻu Kukui[188][189]	 Hawaii	Island of Maui	"5,788 ft
1764 m"	"5,678 ft
1731 m"	"23.5 mi
37.9 km"	20.8904°N 156.5863°W
82	Mount Cleveland[190][191][192][ck]	 Alaska	Chuginadak Island	"5,675 ft
1730 m"	"5,675 ft
1730 m"	"56.3 mi
90.6 km"	52.8230°N 169.9465°W
83	McDonald Peak[193][194][cl][cm]	 Montana	Mission Range	"9,824 ft
2994 m"	"5,650 ft
1722 m"	"79.4 mi
127.8 km"	47.3826°N 113.9191°W
