Continent,state,Name,summit,broadrelief,steeprelief,lat,lon,broadcoord.X,broadcoord.Y,steepcoord.X,steepcoord.Y
SOUTHERN AMERICA,Venezuela,Pico da Neblina,2995,2899,2708,0.802747222222222,-66.0064291666667,-66.2747572237948,1.07300803546176,-66.2747572237948,1.07300803546176
NORTHERN AMERICA,Montana,McDonald Peak,2994,2188,2024,47.3826,-113.9191,-114.279716024313,47.6261895050638,-114.279716024313,47.6261895050638
NORTHERN AMERICA,Nevada,Mount Tobin,2980,1605,1259,40.3765,-117.5261,-117.810379720301,40.591698543042,-117.500371892263,40.3736603743148
NORTHERN AMERICA,Arizona,Chiricahua Peak,2976,1370,1083,31.8456,-109.291,-109.593101810011,32.1021287910465,-109.593101810011,32.1021287910465
NORTHERN AMERICA,Oregon,Steens Mountain,2968,1747,1450,42.6364,-118.5767,-118.90343050747,42.8772329842472,-118.545555585919,42.6233877825222
NORTHERN AMERICA,British Columbia,Skihist Mountain,2968,2718,2164,50.1878,-121.9032,-122.323599674181,50.4558006237284,-122.323599674181,50.4558006237284
NORTHERN AMERICA,Nevada,Granite Peak,2966,1436,1091,41.6681,-117.5889,-117.870256379599,41.878393290117,-117.61717575291,41.6626493562273
ASIA-TROPICAL,East Timor,Pico do Ramelau,2963,2763,2244,-8.90666666666667,125.493333333333,125.22272088239,-8.63789891272944,125.22272088239,-8.63789891272944
EUROPE,Germany,Zugspitze,2962,2358,2232,47.4211111111111,10.9863888888889,10.5891042851862,47.6895826839596,11.018544042644,47.4496640886684
ASIA-TROPICAL,Philippines,Mount Apo,2954,2818,2017,6.9875,125.270833333333,125.001758754437,7.25674829736814,125.001758754437,7.25674829736814
NORTHERN AMERICA,Yukon,Keele Peak,2952,1988,1741,63.4314,-130.3243,-130.511870155477,63.459491495814,-130.917738783989,63.6938839086263
EUROPE,Andorra,Pic de Coma Pedrosa,2943,2212,1759,42.5916666666667,1.44361111111111,1.46416878863049,42.678849898953,1.0787919998234,42.8605631995447
ANTARCTIC,South Georgia,Mount Paget,2934,3032,3032,-54.4408333333333,-36.5552777777778,-37.0261314569288,-54.1637040496945,-37.0261314569288,-54.1637040496945
NORTHERN AMERICA,Greenland,Petermann Bjerg,2933,0,0,73.0905,-28.6187,-29.53953970328,73.3532120258499,-29.53953970328,73.3532120258499
EUROPE,Bulgaria,Musala,2925,2259,1536,42.1797222222222,23.5852777777778,23.2279933133613,42.4434410194208,23.5653621461176,42.1941699435073
ASIA-TROPICAL,Philippines,Mount Pulag,2922,2448,2039,16.5836111111111,120.883611111111,120.607880264255,16.8487772704916,120.607880264255,16.8487772704916
NORTHERN AMERICA,Durango,Sinaloa High Point,2920,2532,2181,24.3386111111111,-106.1525,-106.442658644434,24.6034464801733,-106.442658644434,24.6034464801733
EUROPE,Greece,Olympus,2918,2847,2357,40.0855555555556,22.3586111111111,22.0123796076432,40.3492292671489,22.0123796076432,40.3492292671489
NORTHERN AMERICA,Chiapas,Cerro Tzontehuitz,2910,2152,1233,16.8358,-92.5894,-92.573394598988,16.928012183379,-92.6062434652376,16.851205802627
NORTHERN AMERICA,Montana,Mount Edith,2897,1387,1121,46.4318,-111.1862,-111.47656053909,46.6317279230218,-111.27383593074,46.4363994995118
NORTHERN AMERICA,Oregon,Mount McLoughlin,2895,2294,1728,42.4445,-122.3156,-122.671712182928,42.7079396551927,-122.342038977857,42.4496733142913
SOUTHERN AMERICA,Espírito Santo,Pico da Bandeira,2891,2392,1979,-20.4355555555556,-41.7977777777778,-42.0758241308106,-20.1717141515452,-41.8367327353024,-20.442912796072
NORTHERN AMERICA,Michoacán,Cerro Las Conchas,2890,2335,1465,18.7215,-102.974,-102.893615748429,18.7777214615271,-103.249632851301,18.9830650711589
NORTHERN AMERICA,Arizona,Miller Peak,2886,1501,1269,31.3928,-110.293,-110.598703823678,31.6540311410724,-110.271918251976,31.3973528905963
NORTHERN AMERICA,Arizona,Mount Wrightson,2882,2001,1479,31.6959,-110.8482,-111.154481554299,31.9574761273066,-110.863553133301,31.7301247151708
AFRICA,Madagascar,Maromokotro,2876,2418,1641,-14.0227777777778,48.9658333333333,48.68996301907,-13.7522366366117,48.9696761610248,-14.0868143923622
ASIA-TROPICAL,Sulawesi,Moncong Lompotabang,2874,2844,1834,-5.34667906944444,119.931666530556,119.670358638667,-5.08415287259664,119.88903471567,-5.3781016754365
